,Station Name,Postal Code,mean_income,median_income,population,sex_ratio,poi_number_10m,poi_number_100m,poi_number_1000m,traffic_avg_1000m,traffic_avg_2500m,traffic_avg_5000m,traffic_avg_10000m
95005,FLEET BUILDING / PSB-FIRE 2,84111,"74,870","51,624","13,030",115.1,0,0,207,0,199.355,110.298,78.62944444
95017,FLEET BUILDING / LIBRARY SQUA P1,84111,"74,870","51,624","13,030",115.1,0,7,229,0,199.355,110.298,75.66647059
95027,FLEET BUILDING / SLC FACILITIES,84111,"74,870","51,624","13,030",115.1,0,0,167,0,199.355,103.69025,74.59226316
95037,FLEET BUILDING / 159 S. MAIN ST,84111,"74,870","51,624","13,030",115.1,0,22,308,0,377.45,115.2512,96.9666875
95040,FLEET BUILDING / SUGAR HOUSE,84106,"114,283","90,381","35,166",100,0,5,102,0,123.54,159.3293333,75.32577778
95041,FLEET BUILDING / 300 SOUTH,84111,"74,870","51,624","13,030",115.1,0,19,322,0,199.355,115.2512,88.06816667
95042,FLEET BUILDING / LIBERTY PARK,84105,"130,032","90,909","22,812",101.2,0,0,48,21.26,199.355,153.4851429,80.13547059
95046,FLEET BUILDING / FAIRMONT PARK,84106,"114,283","90,381","35,166",100,0,0,121,0,123.54,159.3293333,75.32577778
95055,FLEET BUILDING / FOREST DALE GOL,84106,"114,283","90,381","35,166",100,0,0,110,0,123.54,159.3293333,75.32577778
95060,FLEET BUILDING / LIBERTY PARK 2,84105,"130,032","90,909","22,812",101.2,0,0,49,21.26,199.355,153.4851429,80.13547059
95091,FLEET BUILDING / FLEET,84104,"72,686","59,136","26,761",102.6,0,0,0,0,59.182,59.182,67.55052632
95107,FLEET BUILDING / LIBRA SQ GAR P2,84111,"74,870","51,624","13,030",115.1,0,4,253,0,199.355,103.69025,75.66647059
95129,FLEET BUILDING / LIBRARY SQ P1,84111,"74,870","51,624","13,030",115.1,0,8,238,0,199.355,103.69025,75.66647059
95151,FLEET BUILDING / INTL PEACE GARD,84104,"72,686","59,136","26,761",102.6,0,0,15,0,87.928,127.3408889,71.56961111
95152,FLEET BUILDING / SORENSON MULTIC,84104,"72,686","59,136","26,761",102.6,0,0,10,0,217.443,115.4868,70.44238889
95156,FLEET BUILDING / PIONEER PARK,84101,"98,624","64,405","5,202",148.4,0,6,209,0,165.8533333,115.2512,88.06816667
95241,FLEET BUILDING / LIBRARY POOL,84111,"74,870","51,624","13,030",115.1,0,1,219,0,199.355,110.298,71.56961111
95254,FLEET BUILDING / LIBER SQ GAR P2,84111,"74,870","51,624","13,030",115.1,0,4,253,0,199.355,103.69025,75.66647059
98640,RMP NTO OFFICE / STATION 01,84116,"80,410","67,968","34,588",113.6,0,0,12,60.055,60.055,138.749,88.06816667
