,Unnamed: 0,Station Name,mean_income,median_income,population,sex_ratio,poi_number_100m,poi_number_1000m,traffic_avg_2500m,traffic_avg_5000m,traffic_avg_10000m,Hours Used/Day,Hours Charged/Day,kWh/Day,Sessions/Day
59,889,MAVERIK / MAVERIK 533 2,138720.0,103971.0,5830.0,95.8,0,0,19.899,19.899,13.84466667,0.4334429825,0.4147880117,2.588342105,1.210526316
60,1023,MAVERIK / MAVERK #538 2,101683.0,75278.0,2912.0,115.5,3,10,0.0,0.0,0.0,1.242100823,1.169886831,6.800237037,1.333333333
61,1025,MAVERIK / MAVERIK #377 1,103175.0,92997.0,13877.0,106.3,2,6,201.0875,216.365,179.686,0.7713840439,0.7493911499,17.35075,1.534883721
62,1341,MAVERIK / MAVERIK 508-2,110209.0,96165.0,53254.0,96.1,2,5,0.0,0.0,100.0,1.079565972,0.9835069444,4.460925,1.3375
63,1421,MAVERIK / MAVERIK 348 1,84297.0,71206.0,25286.0,98.2,1,1,0.0,0.0,1.7,0.8108061002,0.7877142338,21.9883268,1.411764706
64,1565,UVU / ADMIN LOT 1,92919.0,68069.0,42952.0,108.2,0,18,137.1175,155.9267143,167.6108667,10.41158319,6.52816554,23.64589482,3.812922615
65,1713,UVU / FAST CHARGER,92919.0,68069.0,42952.0,108.2,0,20,137.1175,155.9267143,167.6108667,1.30047845,1.256560894,24.87827758,2.790035587
66,4910,SALT LAKE CITY / PARKS & LAND,72686.0,59136.0,26761.0,102.6,0,0,59.182,49.0695,67.55052632,1.579583333,0.7199305556,3.436,1.0
67,10349,MAVERIK / MAVERIK #377 2,103175.0,92997.0,13877.0,106.3,2,6,201.0875,216.365,179.686,0.7145061728,0.6546428571,3.935857143,1.793650794
68,10362,SALT LAKE CITY / 475 S 300 E #2,74870.0,51624.0,13030.0,115.1,0,201,199.355,110.298,78.62944444,11.81409979,3.397381687,12.23600926,1.407407407
69,10556,SALT LAKE CITY / 475 S 300 E,74870.0,51624.0,13030.0,115.1,0,200,199.355,110.298,78.62944444,8.362581699,3.138147059,16.95754118,1.176470588
70,14654,PUBLIC USE / RAC PARKING,80410.0,67968.0,34588.0,113.6,0,1,26.4,92.546,115.6475,3.269547804,2.709631783,13.45711628,1.674418605
71,28922,SALT LAKE CITY / PSB-FIRE NORTH,74870.0,51624.0,13030.0,115.1,0,207,199.355,110.298,78.62944444,30.50640886,4.061251513,11.55496732,1.618736383
72,37531,SALT LAKE CITY / 250 E 500 S #2,74870.0,51624.0,13030.0,115.1,3,218,199.355,103.69025,71.56961111,3.524772727,2.962878788,14.14618182,2.818181818
73,37803,PUBLIC USE / 250 E 500 S,74870.0,51624.0,13030.0,115.1,5,222,199.355,103.69025,71.56961111,3.064837963,2.929837963,15.91425,2.416666667
74,39106,SALT LAKE CITY / PUB SAFETY 01,74870.0,51624.0,13030.0,115.1,3,298,199.355,110.298,88.30235714,10.96600694,5.2453125,15.142125,1.625
75,39335,PUBLIC USE / 475 S 300 E,74870.0,51624.0,13030.0,115.1,0,200,199.355,110.298,78.62944444,2.920740741,2.728518519,6.789666667,1.666666667
76,39377,PUBLIC USE / 475 S 300 E #2,74870.0,51624.0,13030.0,115.1,0,202,199.355,110.298,78.62944444,4.683194444,2.865972222,10.79942857,1.285714286
77,55327,PACKSIZE / CLEAN AIR 3,72686.0,59136.0,26761.0,102.6,0,0,0.0,32.13233333,73.45176471,12.754341,3.303965517,10.63664828,1.372413793
78,55328,PACKSIZE / CLEAN AIR 2,72686.0,59136.0,26761.0,102.6,0,0,0.0,32.13233333,73.45176471,7.858457755,2.605561343,8.448427083,1.291666667
79,55330,PACKSIZE / CLEAN AIR 4,72686.0,59136.0,26761.0,102.6,0,0,0.0,32.13233333,73.45176471,20.30584,3.952864444,13.855792,2.004
